Algorithm,Threshold,Precision,Recall,F1
Ample,1.0,0.806980138334624,0.03441394294232572,0.06592978309642002
Ample,0.9,0.806980138334624,0.03441394294232572,0.06592978309642002
Ample,0.8,0.7433351976316765,0.05975628442454966,0.11037595470918783
Ample,0.7,0.7433351976316765,0.05975628442454966,0.11037595470918783
Ample,0.6,0.7153625567351817,0.08866400296199191,0.1576281559204298
Ample,0.5,0.7153625567351817,0.08866400296199191,0.1576281559204298
Ample,0.4,0.6934749893087223,0.12602646582201812,0.21324286435309256
Ample,0.3,0.6934749893087223,0.12602646582201812,0.21324286435309256
Ample,0.2,0.5259731841894805,0.17795396804080055,0.26591590718565605
Ample,0.1,0.5410142823482748,0.1933945345082826,0.28491317388199416
Anderberg,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.6,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.5,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.4,0.8358692743257836,0.029600587038008663,0.05710935867340464
Anderberg,0.3,0.7656280495637519,0.049229963847540935,0.09223370780494015
Anderberg,0.2,0.726798865253364,0.06297557633233546,0.11551605928063635
Anderberg,0.1,0.7329569662945473,0.09110126946394087,0.16155585863860064
ArithmeticMean,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
ArithmeticMean,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
ArithmeticMean,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
ArithmeticMean,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
ArithmeticMean,0.6,0.7329569662945473,0.09110126946394087,0.16155585863860064
ArithmeticMean,0.5,0.6923256825521927,0.2650738490344971,0.3832882411638616
ArithmeticMean,0.4,0.5998468642419809,0.31851213204307666,0.4160409392236601
ArithmeticMean,0.3,0.6098220523479764,0.3390388830375986,0.4357273395503949
ArithmeticMean,0.2,0.6160260975648023,0.34836879349035427,0.44501238895719714
ArithmeticMean,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
Cohen,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Cohen,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Cohen,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Cohen,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Cohen,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
Cohen,0.5,0.726798865253364,0.06297557633233546,0.11551605928063635
Cohen,0.4,0.7254476092589223,0.07263208669638407,0.13169287512716457
Cohen,0.3,0.7329569662945473,0.09110126946394087,0.16155585863860064
Cohen,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
Cohen,0.1,0.5998468642419809,0.31851213204307666,0.4160409392236601
Dice,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Dice,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Dice,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Dice,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Dice,0.6,0.8358692743257836,0.029600587038008663,0.05710935867340464
Dice,0.5,0.7656280495637519,0.049229963847540935,0.09223370780494015
Dice,0.4,0.7656280495637519,0.049229963847540935,0.09223370780494015
Dice,0.3,0.726798865253364,0.06297557633233546,0.11551605928063635
Dice,0.2,0.7329569662945473,0.09110126946394087,0.16155585863860064
Dice,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Euclid,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Euclid,0.9,0.7656280495637519,0.049229963847540935,0.09223370780494015
Euclid,0.8,0.47424983593391673,0.12748517772100346,0.20088733476550624
Euclid,0.7,0.504287435357056,0.15979782998820663,0.24261924402659954
Euclid,0.6,0.504287435357056,0.15979782998820663,0.24261924402659954
Euclid,0.5,0.5348442768317095,0.18708268549890109,0.2771574451789254
Euclid,0.4,0.6175336942817059,0.3507983417888152,0.4473969878842865
Euclid,0.3,0.6175336942817059,0.3507983417888152,0.4473969878842865
Euclid,0.2,0.6175336942817059,0.3507983417888152,0.4473969878842865
Euclid,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
Fleiss,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Fleiss,0.9,0.7656280495637519,0.049229963847540935,0.09223370780494015
Fleiss,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
Fleiss,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
Fleiss,0.6,0.7254476092589223,0.07263208669638407,0.13169287512716457
Fleiss,0.5,0.48484676784591657,0.13529344769970594,0.21149577688391033
Fleiss,0.4,0.5224434040980874,0.1758542728094191,0.2630457169857076
Fleiss,0.3,0.5348442768317095,0.18708268549890109,0.2771574451789254
Fleiss,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Fleiss,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
GeometricMean,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
GeometricMean,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
GeometricMean,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
GeometricMean,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
GeometricMean,0.6,0.7329569662945473,0.09110126946394087,0.16155585863860064
GeometricMean,0.5,0.7329569662945473,0.09110126946394087,0.16155585863860064
GeometricMean,0.4,0.5051145930364287,0.1527765315183134,0.23449353727744593
GeometricMean,0.3,0.5224434040980874,0.1758542728094191,0.2630457169857076
GeometricMean,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
GeometricMean,0.1,0.5381778589444811,0.19031359015705931,0.2811621317406093
Goodman,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Goodman,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Goodman,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Goodman,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Goodman,0.6,0.7656280495637519,0.049229963847540935,0.09223370780494015
Goodman,0.5,0.726798865253364,0.06297557633233546,0.11551605928063635
Goodman,0.4,0.7254476092589223,0.07263208669638407,0.13169287512716457
Goodman,0.3,0.7329569662945473,0.09110126946394087,0.16155585863860064
Goodman,0.2,0.6923256825521927,0.2650738490344971,0.3832882411638616
Goodman,0.1,0.6923256825521927,0.2650738490344971,0.3832882411638616
Hamann,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Hamann,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Hamann,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
Hamann,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Hamann,0.6,0.47424983593391673,0.12748517772100346,0.20088733476550624
Hamann,0.5,0.504287435357056,0.15979782998820663,0.24261924402659954
Hamann,0.4,0.504287435357056,0.15979782998820663,0.24261924402659954
Hamann,0.3,0.5348442768317095,0.18708268549890109,0.2771574451789254
Hamann,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Hamann,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
Hamming,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Hamming,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Hamming,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
Hamming,0.7,0.7656280495637519,0.049229963847540935,0.09223370780494015
Hamming,0.6,0.47424983593391673,0.12748517772100346,0.20088733476550624
Hamming,0.5,0.504287435357056,0.15979782998820663,0.24261924402659954
Hamming,0.4,0.504287435357056,0.15979782998820663,0.24261924402659954
Hamming,0.3,0.5348442768317095,0.18708268549890109,0.2771574451789254
Hamming,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
Hamming,0.1,0.6175336942817059,0.3507983417888152,0.4473969878842865
HarmonicMean,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
HarmonicMean,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
HarmonicMean,0.8,0.7656280495637519,0.049229963847540935,0.09223370780494015
HarmonicMean,0.7,0.726798865253364,0.06297557633233546,0.11551605928063635
HarmonicMean,0.6,0.7329569662945473,0.09110126946394087,0.16155585863860064
HarmonicMean,0.5,0.7329569662945473,0.09110126946394087,0.16155585863860064
HarmonicMean,0.4,0.5051145930364287,0.1527765315183134,0.23449353727744593
HarmonicMean,0.3,0.5224434040980874,0.1758542728094191,0.2630457169857076
HarmonicMean,0.2,0.5348442768317095,0.18708268549890109,0.2771574451789254
HarmonicMean,0.1,0.5381778589444811,0.19031359015705931,0.2811621317406093
Jaccard,1.0,0.8358692743257836,0.029600587038008663,0.05710935867340464
Jaccard,0.9,0.8358692743257836,0.029600587038008663,0.05710935867340464
Jaccard,0.8,0.8358692743257836,0.029600587038008663,0.05710935867340464
Jaccard,0.7,0.8358692743257836,0.029600587038008663,0.05710935867340464
Jaccard,0.6,0.8358692743257836,0.029600587038008663,0.05710935867340464
Jaccard,0.5,0.7656280495637519,0.049229963847540935,0.09223370780494015
